G1	Α
G2	Ἀαρών
G3	Ἀβαδδών
G4	ἀβαρής
G5	Ἀββᾶ
G6	Ἄβελ
G7	Ἀβιά
G8	Ἀβιαθάρ
G9	Ἀβιληνή
G10	Ἀβιούδ
G11	Ἀβραάμ
G12	ἄβυσσος
G13	Ἄγαβος
G14	ἀγαθοεργέω
G15	ἀγαθοποιέω
G16	ἀγαθοποιΐα
G17	ἀγαθοποιός
G18	ἀγαθός
G19	ἀγαθωσύνη
G20	ἀγαλλίασις
G21	ἀγαλλιάω
G22	ἄγαμος
G23	ἀγανακτέω
G24	ἀγανάκτησις
G25	ἀγαπάω
G26	ἀγάπη
G27	ἀγαπητός
G28	Ἄγαρ
G29	ἀγγαρεύω
G30	ἀγγεῖον
G31	ἀγγελία
G32	ἄγγελος
G33	ἄγε
G34	ἀγέλη
G35	ἀγενεαλόγητος
G36	ἀγενής
G37	ἁγιάζω
G38	ἁγιασμός
G39	ἅγιον
G40	ἅγιος
G41	ἁγιότης
G42	ἁγιωσύνη
G43	ἀγκάλη
G44	ἄγκιστρον
G45	ἄγκυρα
G46	ἄγναφος
G47	ἁγνεία
G48	ἁγνίζω
G49	ἁγνισμός
G50	ἀγνοέω
G51	ἀγνόημα
G52	ἄγνοια
G53	ἁγνός
G54	ἁγνότης
G55	ἁγνῶς
G56	ἀγνωσία
G57	ἄγνωστος
G58	ἀγορά
G59	ἀγοράζω
G60	ἀγοραῖος
G61	ἄγρα
G62	ἀγράμματος
G63	ἀγραυλέω
G64	ἀγρεύω
G65	ἀγριέλαιος
G66	ἄγριος
G67	Ἀγρίππας
G68	ἀγρός
G69	ἀγρυπνέω
G70	ἀγρυπνία
G71	ἄγω
G72	ἀγωγή
G73	ἀγών
G74	ἀγωνία
G75	ἀγωνίζομαι
G76	Ἀδάμ
G77	ἀδάπανος
G78	Ἀδδί
G79	ἀδελφή
G80	ἀδελφός
G81	ἀδελφότης
G82	ἄδηλος
G83	ἀδηλότης
G84	ἀδήλως
G85	ἀδημονέω
G86	ᾅδης
G87	ἀδιάκριτος
G88	ἀδιάλειπτος
G89	ἀδιαλείπτως
G90	ἀδιαφθορία
G91	ἀδικέω
G92	ἀδίκημα
G93	ἀδικία
G94	ἄδικος
G95	ἀδίκως
G96	ἀδόκιμος
G97	ἄδολος
G98	Ἀδραμυττηνός
G99	Ἀδρίας
G100	ἁδρότης
G101	ἀδυνατέω
G102	ἀδύνατος
G103	ᾄδω
G104	ἀεί
G105	ἀετός
G106	ἄζυμος
G107	Ἀζώρ
G108	Ἄζωτος
G109	ἀήρ
G110	ἀθανασία
G111	ἀθέμιτος
G112	ἄθεος
G113	ἄθεσμος
G114	ἀθετέω
G115	ἀθέτησις
G116	Ἀθῆναι
G117	Ἀθηναῖος
G118	ἀθλέω
G119	ἄθλησις
G120	ἀθυμέω
G121	ἄθωος
G122	αἴγειος
G123	αἰγιαλός
G124	Αἰγύπτιος
G125	Αἴγυπτος
G126	ἀΐδιος
G127	αἰδώς
G128	Αἰθίοψ
G129	αἷμα
G130	αἱματεκχυσία
G131	αἱμοῤῥέω
G132	Αἰνέας
G133	αἴνεσις
G134	αἰνέω
G135	αἴνιγμα
G136	αἶνος
G137	Αἰνών
G138	αἱρέομαι
G139	αἵρεσις
G140	αἱρετίζω
G141	αἱρετικός
G142	αἴρω
G143	αἰσθάνομαι
G144	αἴσθησις
G145	αἰσθητήριον
G146	αἰσχροκερδής
G147	αἰσχροκερδῶς
G148	αἰσχρολογία
G149	αἰσχρόν
G150	αἰσχρός
G151	αἰσχρότης
G152	αἰσχύνη
G153	αἰσχύνομαι
G154	αἰτέω
G155	αἴτημα
G156	αἰτία
G157	αἰτίαμα
G158	αἴτιον
G159	αἴτιος
G160	αἰφνίδιος
G161	αἰχμαλωσία
G162	αἰχμαλωτεύω
G163	αἰχμαλωτίζω
G164	αἰχμάλωτος
G165	αἰών
G166	αἰώνιος
G167	ἀκαθαρσία
G168	ἀκαθάρτης
G169	ἀκάθαρτος
G170	ἀκαιρέομαι
G171	ἀκαίρως
G172	ἄκακος
G173	ἄκανθα
G174	ἀκάνθινος
G175	ἄκαρπος
G176	ἀκατάγνωστος
G177	ἀκατακάλυπτος
G178	ἀκατάκριτος
G179	ἀκατάλυτος
G180	ἀκατάπαυστος
G181	ἀκαταστασία
G182	ἀκατάστατος
G183	ἀκατάσχετος
G184	Ἀκελδαμά
G185	ἀκέραιος
G186	ἀκλινής
G187	ἀκμάζω
G188	ἀκμήν
G189	ἀκοή
G190	ἀκολουθέω
G191	ἀκούω
G192	ἀκρασία
G193	ἀκρατής
G194	ἄκρατος
G195	ἀκρίβεια
G196	ἀκριβέστατος
G197	ἀκριβέστερον
G198	ἀκριβόω
G199	ἀκριβῶς
G200	ἀκρίς
G201	ἀκροατήριον
G202	ἀκροατής
