L70001	<a href='S:H9001'><big>ב</big></a>&#x200E; (prep｜in), <a href='S:H2004'><big>הֵן</big></a>&#x200E; (prps｜they)
L70002	<a href='S:H7225'><big>רֵאשִׁית</big></a>&#x200E; (subs｜beginning)
L70003	<a href='S:H1254'><big>בָּרָא</big></a>&#x200E; (verb｜be fat｜shape)
L70004	<a href='S:H430'><big>אֱלֹהִים</big></a>&#x200E; (subs｜gods)
L70005	<a href='S:H853'><big>אֵת</big></a>&#x200E; (prep｜mark of the accusative)
L70006	<a href='S:H9006'><big>ה</big></a>&#x200E; (art｜the)
L70007	<a href='S:H8064'><big>שָׁמַיִם</big></a>&#x200E; (subs｜heavens)
L70008	<a href='S:H9005'><big>ו</big></a>&#x200E; (conj｜and)
L70009	<a href='S:H776'><big>אֶרֶץ</big></a>&#x200E; (subs｜earth)
L70010	<a href='S:H1961'><big>הָיָה</big></a>&#x200E; (verb｜fall out)
L70011	<a href='S:H8414'><big>תֹּהוּ</big></a>&#x200E; (subs｜formlessness)
L70012	<a href='S:H922'><big>בֹּהוּ</big></a>&#x200E; (subs｜emptiness)
L70013	<a href='S:H2822'><big>חֹשֶׁךְ</big></a>&#x200E; (subs｜darkness)
L70014	<a href='S:H5921'><big>עַל</big></a>&#x200E; (prep｜above｜forasmuch as)
L70015	<a href='S:H6440'><big>פָּנִים</big></a>&#x200E; (subs｜face), <a href='S:H3942'><big>לִפְנַי</big></a>&#x200E; (prep｜anterior)
L70016	<a href='S:H8415'><big>תְּהֹום</big></a>&#x200E; (subs｜deep)
L70017	<a href='S:H7307'><big>רוּחַ</big></a>&#x200E; (subs｜breath)
L70018	<a href='S:H7363'><big>רָחַף</big></a>&#x200E; (verb｜grow soft｜hover)
L70019	<a href='S:H4325'><big>מַיִם</big></a>&#x200E; (subs｜waters), <a href='S:H7890'><big>שַׁיִן</big></a>&#x200E; (subs｜urine)
L70020	<a href='S:H559'><big>אָמַר</big></a>&#x200E; (verb｜utter)
L70021	<a href='S:H216'><big>אֹור</big></a>&#x200E; (subs｜light)
L70022	<a href='S:H7200'><big>רָאָה</big></a>&#x200E; (verb｜see), <a href='S:H7202'><big>רָאֶה</big></a>&#x200E; (adjv｜seeing), <a href='S:H3070'><big>יְהֹוָה יִרְאֶה</big></a>&#x200E; (nmpr｜see)
L70023	<a href='S:H3588'><big>כִּי</big></a>&#x200E; (conj｜forasmuch as｜relative conjunction｜that)
L70024	<a href='S:H2895'><big>טֹוב</big></a>&#x200E; (verb｜pleasing)
L70025	<a href='S:H914'><big>בָּדַל</big></a>&#x200E; (verb｜be divided)
L70026	<a href='S:H996'><big>בֵּין</big></a>&#x200E; (prep｜interval)
L70027	<a href='S:H7121'><big>קָרָא</big></a>&#x200E; (verb｜call), <a href='S:H5875'><big>עֵין הַקֹּורֵא</big></a>&#x200E; (nmpr｜En-hakhore)
L70028	<a href='S:H9003'><big>ל</big></a>&#x200E; (prep｜to)
L70029	<a href='S:H3117'><big>יֹום</big></a>&#x200E; (subs｜day)
L70030	<a href='S:H3915'><big>לַיִל</big></a>&#x200E; (subs｜night)
L70031	<a href='S:H6153'><big>עֶרֶב</big></a>&#x200E; (subs｜set)
L70032	<a href='S:H1242'><big>בֹּקֶר</big></a>&#x200E; (subs｜morning)
L70033	<a href='S:H259'><big>אֶחָד</big></a>&#x200E; (adjv｜one)
L70034	<a href='S:H7549'><big>רָקִיעַ</big></a>&#x200E; (subs｜extended surface)
L70035	<a href='S:H8432'><big>תָּוֶךְ</big></a>&#x200E; (subs｜midst)
L70036	<a href='S:H6213'><big>עָשָׂה</big></a>&#x200E; (verb｜do｜press)
L70037	<a href='S:H834'><big>אֲשֶׁר</big></a>&#x200E; (conj｜according as｜in which｜who)
L70038	<a href='S:H4480'><big>מִן</big></a>&#x200E; (prep｜out of｜portion)
L70039	<a href='S:H8478'><big>תַּחַת</big></a>&#x200E; (subs｜the under part)
L70040	<a href='S:H3651'><big>כֵּן</big></a>&#x200E; (adjv｜forasmuch as｜right｜so)
L70041	<a href='S:H8145'><big>שֵׁנִי</big></a>&#x200E; (subs｜second)
L70042	<a href='S:H6960'><big>קָוָה</big></a>&#x200E; (verb｜collect｜wait for)
L70043	<a href='S:H413'><big>אֵל</big></a>&#x200E; (prep｜motion to)
L70044	<a href='S:H4725'><big>מָקֹום</big></a>&#x200E; (subs｜standing-place)
L70045	<a href='S:H3004'><big>יַבָּשָׁה</big></a>&#x200E; (subs｜dry land)
