H1	<a href='S:H70188'><big>אָב</big></a>&#x200E; (subs｜father)
H2	<a href='S:H77734'><big>אַב</big></a>&#x200E; (subs｜father)
H3	<a href='S:H77063'><big>אֵב</big></a>&#x200E; (subs｜bud)
H4	<a href='S:H77950'><big>אֵב</big></a>&#x200E; (subs｜fruit)
H5	<a href='S:H77556'><big>אֲבַגְתָא</big></a>&#x200E; (nmpr｜Abagtha)
H6	<a href='S:H71963'><big>אבד</big></a>&#x200E; (verb｜perish)
H7	<a href='S:H75944'><big>אבד</big></a>&#x200E; (verb｜perish)
H8	<a href='S:H71963'><big>אבד</big></a>&#x200E; (verb｜perish)
H9	<a href='S:H72179'><big>אֲבֵדָה</big></a>&#x200E; (subs｜what is lost)
H10	<a href='S:H77352'><big>אֲבַדֹּה</big></a>&#x200E; (subs｜destruction)
H11	<a href='S:H76933'><big>אֲבַדֹּון</big></a>&#x200E; (subs｜destruction)
H12	<a href='S:H77604'><big>אַבְדָן</big></a>&#x200E; (subs｜destruction)
H13	<a href='S:H77598'><big>אָבְדָן</big></a>&#x200E; (subs｜destruction)
H14	<a href='S:H71011'><big>אבה</big></a>&#x200E; (verb｜want)
H15	<a href='S:H70188'><big>אָב</big></a>&#x200E; (subs｜father)
H16	<a href='S:H77071'><big>אֵבֶה</big></a>&#x200E; (subs｜reed)
H17	<a href='S:H77331'><big>אֲבֹוי</big></a>&#x200E; (subs｜desire)
H18	<a href='S:H75123'><big>אֵבוּס</big></a>&#x200E; (subs｜manger)
H19	<a href='S:H76278'><big>אִבְחָה</big></a>&#x200E; (subs｜[uncertain])
H20	<a href='S:H72815'><big>אֲבַטִּיחַ</big></a>&#x200E; (subs｜water-melon)
H21	<a href='S:H75015'><big>אֲבִי</big></a>&#x200E; (nmpr｜Abi)
H22	<a href='S:H74189'><big>אֲבִיאֵל</big></a>&#x200E; (nmpr｜Abiel)
H23	<a href='S:H71918'><big>אֲבִיאָסָף</big></a>&#x200E; (nmpr｜Abiasaph)
H24	<a href='S:H71954'><big>אָבִיב</big></a>&#x200E; (subs｜ears)
H25	<a href='S:H73539'><big>גִּבְעֹון</big></a>&#x200E; (nmpr｜Gibeon)
H26	<a href='S:H74331'><big>אֲבִיגַיִל</big></a>&#x200E; (nmpr｜Abigail)
H27	<a href='S:H72753'><big>אֲבִידָן</big></a>&#x200E; (nmpr｜Abidan)
H28	<a href='S:H71069'><big>אֲבִידָע</big></a>&#x200E; (nmpr｜Abida)
H29	<a href='S:H74185'><big>אֲבִיָּה</big></a>&#x200E; (nmpr｜Abijah), <a href='S:H79192'><big>אֲבִיָּהוּ</big></a>&#x200E; (nmpr｜Abijah)
H30	<a href='S:H71913'><big>אֲבִיהוּא</big></a>&#x200E; (nmpr｜Abihu)
H31	<a href='S:H78940'><big>אֲבִיהוּד</big></a>&#x200E; (nmpr｜Abihud)
H32	<a href='S:H72781'><big>אֲבִיחַיִל</big></a>&#x200E; (nmpr｜Abihail), <a href='S:H78684'><big>אֲבִיהַיִל</big></a>&#x200E; (nmpr｜Abihail)
H33	<a href='S:H73982'><big>עֶזְרִי</big></a>&#x200E; (adjv｜-ezrite)
H34	<a href='S:H72198'><big>אֶבְיֹון</big></a>&#x200E; (adjv｜poor)
H35	<a href='S:H77501'><big>אֲבִיֹּונָה</big></a>&#x200E; (subs｜caper-fruit)
H36	<a href='S:H78956'><big>אֲבִיטוּב</big></a>&#x200E; (nmpr｜Abitub)
H37	<a href='S:H74393'><big>אֲבִיטָל</big></a>&#x200E; (nmpr｜Abital)
H38	<a href='S:H74805'><big>אֲבִיָּם</big></a>&#x200E; (nmpr｜Abijah)
H39	<a href='S:H70573'><big>אֲבִימָאֵל</big></a>&#x200E; (nmpr｜Abimael)
H40	<a href='S:H70914'><big>אֲבִימֶלֶךְ</big></a>&#x200E; (nmpr｜Abimelech)
H41	<a href='S:H74178'><big>אֲבִינָדָב</big></a>&#x200E; (nmpr｜Abinadab)
H42	<a href='S:H73931'><big>אֲבִינֹעַם</big></a>&#x200E; (nmpr｜Abinoam)
H43	<a href='S:H78854'><big>אֶבְיָסָף</big></a>&#x200E; (nmpr｜Ebiasaph)
H44	<a href='S:H73755'><big>אֲבִיעֶזֶר</big></a>&#x200E; (nmpr｜Abiezer)
H45	<a href='S:H74618'><big>אֲבִי עַלְבֹון</big></a>&#x200E; (nmpr｜Abi-albon)
H46	<a href='S:H71794'><big>אָבִיר</big></a>&#x200E; (adjv｜strong)
H47	<a href='S:H73963'><big>אַבִּיר</big></a>&#x200E; (adjv｜strong)
H48	<a href='S:H72890'><big>אֲבִירָם</big></a>&#x200E; (nmpr｜Abiram)
H49	<a href='S:H74643'><big>אֲבִישַׁג</big></a>&#x200E; (nmpr｜Abishag)
H50	<a href='S:H78418'><big>אֲבִישׁוּעַ</big></a>&#x200E; (nmpr｜Abishua)
H51	<a href='S:H78683'><big>אֲבִישׁוּר</big></a>&#x200E; (nmpr｜Abishur)
H52	<a href='S:H74341'><big>אֲבִישַׁי</big></a>&#x200E; (nmpr｜Abishai), <a href='S:H74468'><big>אַבְשַׁי</big></a>&#x200E; (nmpr｜Abishai)
H53	<a href='S:H74389'><big>אַבְשָׁלֹום</big></a>&#x200E; (nmpr｜Absalom), <a href='S:H74806'><big>אֲבִישָׁלֹום</big></a>&#x200E; (nmpr｜Abishalom)
H54	<a href='S:H74319'><big>אֶבְיָתָר</big></a>&#x200E; (nmpr｜Abiathar)
H55	<a href='S:H75263'><big>אבך</big></a>&#x200E; (verb｜bear along)
H56	<a href='S:H71501'><big>אבל</big></a>&#x200E; (verb｜mourn), <a href='S:H75955'><big>אבל</big></a>&#x200E; (verb｜dry up)
H57	<a href='S:H71503'><big>אָבֵל</big></a>&#x200E; (adjv｜mourning)
H58	<a href='S:H74044'><big>אָבֵל כְּרָמִים</big></a>&#x200E; (nmpr｜Abel Keramim)
H59	<a href='S:H74177'><big>אָבֵל</big></a>&#x200E; (subs｜water-course), <a href='S:H74542'><big>אָבֵל</big></a>&#x200E; (nmpr｜Abel)
H60	<a href='S:H71180'><big>אֵבֶל</big></a>&#x200E; (subs｜mourning rites)
H61	<a href='S:H70820'><big>אֲבָל</big></a>&#x200E; (intj｜verily)
H62	<a href='S:H74814'><big>אָבֵל בֵּית מַעֲכָה</big></a>&#x200E; (nmpr｜Abel-beth-maacah)
H63	<a href='S:H73157'><big>אָבֵל הַשִּׁטִּים</big></a>&#x200E; (nmpr｜Abel Shittim)
H64	<a href='S:H74044'><big>אָבֵל כְּרָמִים</big></a>&#x200E; (nmpr｜Abel Keramim)
H65	<a href='S:H74000'><big>אָבֵל מְחֹולָה</big></a>&#x200E; (nmpr｜Abel Meholah)
H66	<a href='S:H79196'><big>אָבֵל מָיִם</big></a>&#x200E; (nmpr｜Abel Maim)
H67	<a href='S:H71812'><big>אָבֵל מִצְרַיִם</big></a>&#x200E; (nmpr｜Abel Mizraim)
H68	<a href='S:H70154'><big>אֶבֶן</big></a>&#x200E; (subs｜stone)
H69	<a href='S:H77783'><big>אֶבֶן</big></a>&#x200E; (subs｜stone)
H70	<a href='S:H71827'><big>אֹבֶן</big></a>&#x200E; (subs｜potter's wheel)
H71	<a href='S:H74902'><big>אֲמָנָה</big></a>&#x200E; (nmpr｜Amana)
H72	<a href='S:H74164'><big>אֶבֶן הָעֵזֶר</big></a>&#x200E; (nmpr｜Ebenezer)
H73	<a href='S:H72306'><big>אַבְנֵט</big></a>&#x200E; (subs｜scarf)
H74	<a href='S:H74246'><big>אַבְנֵר</big></a>&#x200E; (nmpr｜Abner)
H75	<a href='S:H74678'><big>אבס</big></a>&#x200E; (verb｜fatten)
H76	<a href='S:H71945'><big>אֲבַעְבֻּעֹת</big></a>&#x200E; (subs｜blisters)
H77	<a href='S:H73810'><big>אָבֶץ</big></a>&#x200E; (nmpr｜Ebez)
H78	<a href='S:H74048'><big>אִבְצָן</big></a>&#x200E; (nmpr｜Ibzan)
H79	<a href='S:H71339'><big>אבק</big></a>&#x200E; (verb｜wrestle)
H80	<a href='S:H71943'><big>אָבָק</big></a>&#x200E; (subs｜dust)
H81	<a href='S:H77414'><big>אֲבָקָה</big></a>&#x200E; (subs｜scent-powder)
H82	<a href='S:H77229'><big>אבר</big></a>&#x200E; (verb｜soar up)
H83	<a href='S:H75677'><big>אֵבֶר</big></a>&#x200E; (subs｜wing)
H84	<a href='S:H73448'><big>אֶבְרָה</big></a>&#x200E; (subs｜wing)
H85	<a href='S:H70807'><big>אַבְרָהָם</big></a>&#x200E; (nmpr｜Abraham)
H86	<a href='S:H71594'><big>אַבְרֵךְ</big></a>&#x200E; (intj｜[uncertain])
H87	<a href='S:H70602'><big>אַבְרָם</big></a>&#x200E; (nmpr｜Abram)
H88	<a href='S:H72915'><big>אֹבֹת</big></a>&#x200E; (nmpr｜Oboth)
H89	<a href='S:H74602'><big>אָגֵא</big></a>&#x200E; (nmpr｜Agee)
H90	<a href='S:H72986'><big>אֲגַג</big></a>&#x200E; (nmpr｜Agag)
H91	<a href='S:H77582'><big>אֲגָגִי</big></a>&#x200E; (adjv｜Agagite)
H92	<a href='S:H72000'><big>אֲגֻדָּה</big></a>&#x200E; (subs｜bundle)
H93	<a href='S:H77441'><big>אֱגֹוז</big></a>&#x200E; (subs｜nut)
H94	<a href='S:H77359'><big>אָגוּר</big></a>&#x200E; (nmpr｜Agur)
H95	<a href='S:H74158'><big>אֲגֹורָה</big></a>&#x200E; (subs｜payment)
H96	<a href='S:H77214'><big>אֵגֶל</big></a>&#x200E; (subs｜drop)
H97	<a href='S:H75360'><big>אֶגְלַיִם</big></a>&#x200E; (nmpr｜Eglaim)
